越	えっ:on えつ:on こし:kun りこし:kun
直	すぐ:kun ただ:kun ちょっ:on っすぐ:kun
物	いもの:kun ぶっ:on みもの:kun りもの:kun
楽	かく:on がく:on がっ:on らっ:on
隠	いん:on おん:on かくし:kun
質	しち:on しっ:on ち:on
請	しょう:on しん:on せい:on
誦	しゅ:on しょう:on す:on
童	とう:on どう:on わらわ:kun
砂	さ:on さご:kun しゃ:on
目	つめ:kun ま:on もっ:on
盛	しょう:on せい:on もり:kun
殺	さい:on さっ:on せっ:on
柔	しゅう:on じゅう:on にゅう:on
望	ほう:on ぼう:on もう:on
暴	ばく:on ほう:on ぼう:on
手	す:on って:kun つで:kun
従	しゅう:on しょう:on じゅう:on
執	しっ:on しつ:on しゅう:on
叉	さ:on しゃ:on つまた:kun
出	しゅっ:on たし:kun りだし:kun
入	じゅ:on にっ:on りいれ:kun
借	しゃ:on しゃく:on しゃっ:on
伐	はつ:on ばっ:on ばつ:on
仰	きょう:on ぎょう:on こう:on
鼻	ひ:on び:on
黙	もく:on もっ:on
黄	おう:on こう:on
鹿	か:on かの:kun
鬱	うっ:on うつ:on
駁	はく:on ばく:on
養	よう:on ようじょ:kun
飭	しょく:on ちょく:on
風	かざ:kun ふ:on
顔	かん:on がん:on
頭	つがしら:kun と:on
須	しゅ:on す:on
靱	しん:on じん:on
靭	しん:on じん:on
雨	あま:kun さめ:kun
雅	か:on が:on
雀	から:kun じゃく:on
闊	かっ:on かつ:on
鏤	る:on ろう:on
酒	き:on さか:kun
還	かん:on げん:on
遣	けん:on つかい:kun
遡	さく:on そ:on
達	たっ:on だる:kun
逢	あい:on ほう:on
逆	ぎゃっ:on さか:kun
迎	けい:on げい:on
輓	はん:on ばん:on
較	かく:on こう:on
赤	せっ:on っか:kun
贈	そう:on ぞう:on
賁	ひ:on ふん:on
豎	しゅ:on じゅ:on
譲	しょう:on じょう:on
謁	えっ:on えつ:on
謀	ほう:on ぼう:on
諱	い:on き:on
諦	たい:on てい:on
読	ど:on どっ:on
説	せい:on せっ:on
詰	きっ:on きつ:on
詣	けい:on もうで:kun
角	すみ:kun つかど:kun
覆	ふく:on ふっ:on
血	けっ:on けつ:on
虐	きゃく:on ぎゃく:on
薄	はく:on はっ:on
蕪	ふ:on ぶ:on
蔗	しゃ:on しょ:on
